,FYQ,FY,Q,スーパーマリオ 3Dワールド,New スーパーマリオブラザーズ U,New スーパールイージ U,Wii Party U,ゼルダの伝説 風のタクト HD,マリオカート8,大乱闘スマッシュブラザーズ for Wii U,Nintendo Land,Splatoon,スーパーマリオメーカー,ヨッシー ウールワールド,ゼルダの伝説 ブレス オブ ザ ワイルド,スーパーマリオ 3Dワールド_quarter,New スーパーマリオブラザーズ U_quarter,New スーパールイージ U_quarter,Wii Party U_quarter,ゼルダの伝説 風のタクト HD_quarter,マリオカート8_quarter,大乱闘スマッシュブラザーズ for Wii U_quarter,Nintendo Land_quarter,Splatoon_quarter,スーパーマリオメーカー_quarter,ヨッシー ウールワールド_quarter,ゼルダの伝説 ブレス オブ ザ ワイルド_quarter,WiiU_jp_sales,WiiU_us_sales,WiiU_others_sales,hard_total_sales
2006-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2007-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2008-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2009-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
