key,value
New スーパーマリオブラザーズ U デラックス,New スーパーマリオブラザーズU デラックス
ルイージマンション３,ルイージマンション３
Splatoon2,Splatoon2
ARMS,ARMS
星のカービィ ディスカバリー,星のカービィ ディスカバリー
大乱闘スマッシュブラザーズ SPECIAL,大乱闘スマッシュブラザーズ SPECIAL
スーパーマリオ ３Ｄワールド ＋ フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ ３Ｄコレクション,スーパーマリオ 3Dコレクション
ペーパーマリオ オリガミキング,ペーパーマリオ オリガミキング
あつまれ　どうぶつの森,あつまれ　どうぶつの森
マリオ&ルイージRPG ブラザーシップ!,マリオ&ルイージRPG ブラザーシップ!
New ポケモンスナップ,New ポケモンスナップ
Nintendo Switch Sports,Nintendo Switch Sports
Super Mario Bros. Wonder,Super Mario Bros. Wonder
マリオパーティ スーパースターズ,マリオパーティ スーパースターズ
マリオテニス エース,マリオテニス エース
スーパーマリオパーティ,スーパーマリオパーティ
ルイージマンション3,ルイージマンション3
ヨッシークラフトワールド,ヨッシークラフトワールド
スーパーマリオRPG,スーパーマリオRPG
ベヨネッタ3,ベヨネッタ3
Splatoon 2,Splatoon2
ドンキーコング リターンズ HD,ドンキーコング リターンズ HD
スーパーマリオ オデッセイ,スーパーマリオ オデッセイ
進め！キノピオ隊長,進め! キノピオ隊長
ゼルダ無双 厄災の黙示録,ゼルダ無双 厄災の黙示録
ゼルダの伝説 ティアーズ オブ ザ キングダム,ゼルダの伝説 ティアーズ オブ ザ キングダム
スーパーマリオメーカー2,スーパーマリオメーカー2
マリオカート8 デラックス,マリオカート8 デラックス
スーパーマリオメーカー 2,スーパーマリオメーカー2
OCTOPATH TRAVELER *,OCTOPATH TRAVELER
マリオvs.ドンキーコング,マリオvs.ドンキーコング
ゼルダの伝説 夢をみる島,ゼルダの伝説 夢をみる島
マリオカート８ デラックス,マリオカート8 デラックス
大乱闘スマッシュブラザーズ SPECIAL *,大乱闘スマッシュブラザーズ SPECIAL
ゼルダの伝説 スカイウォードソード HD,ゼルダの伝説 スカイウォードソード HD
スプラトゥーン3,Splatoon3
ルイージマンション2 HD,ルイージマンション2 HD
ペーパーマリオ　オリガミキング,ペーパーマリオ オリガミキング
ポケモン不思議のダンジョン 救助隊DX,ポケモン不思議のダンジョン 救助隊DX
ピクミン3 デラックス,ピクミン3 デラックス
ルイージマンション２ HD,ルイージマンション2 HD
あつまれ どうぶつの森,あつまれ どうぶつの森
スプラトゥーン３,Splatoon3
スーパーマリオ ３Ｄワールド + フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ 3Dコレクション,スーパーマリオ 3Dコレクション
Xenoblade3（ゼノブレイド3）,ゼノブレイド3
ポケットモンスター スカーレット・バイオレット,ポケットモンスター スカーレット・バイオレット
Pikmin 4,Pikmin 4
スーパー マリオパーティ,スーパーマリオパーティ
ASTRAL CHAIN,ASTRAL CHAIN
スーパーマリオ 3Dワールド + フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
ファイアーエムブレム 風花雪月,ファイアーエムブレム 風花雪月
ゼルダの伝説 ブレス オブ ザ ワイルド,ゼルダの伝説 ブレス オブ ザ ワイルド
星のカービィ Wii デラックス,星のカービィ Wii デラックス
New スーパーマリオブラザーズU デラックス,New スーパーマリオブラザーズU デラックス
ペーパーマリオRPG,ペーパーマリオRPG
プリンセスピーチ Showtime!,プリンセスピーチ Showtime!
ドンキーコング トロピカルフリーズ,ドンキーコング トロピカルフリーズ
NEW スーパーマリオブラザーズU デラックス,New スーパーマリオブラザーズU デラックス
メトロイド ドレッド,メトロイド ドレッド
スーパー マリオパーティ ジャンボリー,スーパー マリオパーティ ジャンボリー
スーパーマリオ 3Dワールド ＋ フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
マリオカート 8 デラックス,マリオカート8 デラックス
MARVEL ULTIMATE ALLIANCE 3: The Black Order,MARVEL ULTIMATE ALLIANCE 3: The Black Order
おすそわける メイド イン ワリオ,おすそわける メイド イン ワリオ
マリオゴルフ スーパーラッシュ,マリオゴルフ スーパーラッシュ
メトロイドプライム リマスタード,メトロイドプライム リマスタード
ナビつき！ つくってわかる はじめてゲームプログラミング,ナビつき！ つくってわかる はじめてゲームプログラミング
Nintendo Labo Toy-Con 01: Variety Kit,Nintendo Labo Toy-Con 01: Variety Kit
ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ,ポケットモンスター Let's Go! ピカチュウ・Let's Go! イーブイ
スーパーマリオメーカー２,スーパーマリオメーカー2
進め! キノピオ隊長,進め! キノピオ隊長
やわらかあたま塾 いっしょにあたまのストレッチ,やわらかあたま塾 いっしょにあたまのストレッチ
マリオストライカーズ バトルリーグ,マリオストライカーズ バトルリーグ
マリオカート ライブ ホームサーキット,マリオカート ライブ ホームサーキット
ファイアーエムブレム エンゲージ,ファイアーエムブレム エンゲージ
Xenoblade Definitive Edition,Xenoblade Definitive Edition
世界のアソビ大全51,世界のアソビ大全51
ポケットモンスター ブリリアントダイヤモンド・シャイニングパール,ポケットモンスター ブリリアントダイヤモンド・シャイニングパール
おすそわける　メイド イン ワリオ,おすそわける　メイド イン ワリオ
スーパーマリオ ３Ｄワールド＋フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
ゼルダの伝説 知恵のかりもの,ゼルダの伝説 知恵のかりもの
星のカービィ スターアライズ,星のカービィ スターアライズ
ポケットモンスター ソード・シールド,ポケットモンスター ソード・シールド
ミートピア,ミートピア
ゼルダの伝説　ブレス オブ ザ ワイルド,ゼルダの伝説 ブレス オブ ザ ワイルド
リングフィット アドベンチャー,リングフィット アドベンチャー
Pokmon LEGENDS アルセウス,Pokmon LEGENDS アルセウス
New ポケモンスナップ *,New ポケモンスナップ
ゼノブレイド2,ゼノブレイド2
