key,value
New　スーパーマリオブラザーズ　Wii,New スーパーマリオブラザーズ Wii
街へいこうよ どうぶつの森,街へいこうよ どうぶつの森
Wii Sports Resort,Wii Sports Resort
マリオパーティ8,マリオパーティ8
毛糸のカービィ,毛糸のカービィ
Ｗｉｉ　Ｆｉｔ,Wii Fit
Wiiスポーツ,Wii Sports
リンクのボウガントレーニング＋Ｗｉｉザッパー,リンクのボウガントレーニング＋Wiiザッパー
Wii Party,Wii Party
Wiiスポーツ リゾート,Wii Sports Resort
Ｎｅｗ　スーパーマリオブラザーズ　Ｗｉｉ,New スーパーマリオブラザーズ Wii
Ｗｉｉスポーツ,Wii Sports
マリオパーティ８,マリオパーティ8
スーパーペーパーマリオ,スーパーペーパーマリオ
マリオカートＷｉｉ,マリオカートWii
Wii Fit,Wii Fit
ゼルダの伝説　スカイウォードソード,ゼルダの伝説 スカイウォードソード
Wii Fit Plus,Wii Fit Plus
マリオストライカーズ　チャージド,マリオストライカーズ チャージド
ゼルダの伝説　トワイライトプリンセス,ゼルダの伝説 トワイライトプリンセス
Wiiリモコンプラス　バラエティパック,Wiiリモコンプラス バラエティパック
マリオカートWii,マリオカートWii
MARIO SPORTS MIX,MARIO SPORTS MIX
Wiiスポーツ　リゾート,Wii Sports Resort
星のカービィ Wii,星のカービィ Wii
Ｗｉｉ　Ｆｉｔ　Ｐｌｕｓ,Wii Fit Plus
マリオパーティ９,マリオパーティ9
Wiiでやわらかあたま塾,Wiiでやわらかあたま塾
スーパーマリオギャラクシー2,スーパーマリオギャラクシー2
Wii　Fit　Plus,Wii Fit Plus
はじめてのＷｉｉ,はじめてのWii
大乱闘スマッシュブラザーズＸ,大乱闘スマッシュブラザーズX
スーパーマリオギャラクシー,スーパーマリオギャラクシー
ドンキーコング　リターンズ,ドンキーコング リターンズ
スーパーマリオギャラクシー 2,スーパーマリオギャラクシー2
ゼルダの伝説 トワイライトプリンセス,ゼルダの伝説 トワイライトプリンセス
大乱闘スマッシュブラザーズX,大乱闘スマッシュブラザーズX
Wii Music,Wii Music
はじめてのWii,はじめてのWii
おどる メイドインワリオ,おどる メイドインワリオ
メトロイドプライム３　コラプション,メトロイドプライム3 コラプション
リンクのボウガントレーニング＋Wiiザッパー,リンクのボウガントレーニング＋Wiiザッパー
New スーパーマリオブラザーズ Wii,New スーパーマリオブラザーズ Wii
Ｗｉｉ　Ｐａｒｔｙ,Wii Party
スーパーマリオスタジアム ファミリーベースボール,スーパーマリオスタジアム ファミリーベースボール
スーパーマリオコレクション　スペシャルパック,スーパーマリオコレクション スペシャルパック
Wii Sports,Wii Sports
Ｗｉｉスポーツ　リゾート,Wii Sports Resort
