key,value
1-2-Switch,1-2-Switch
ARMS,ARMS
ASTRAL CHAIN,ASTRAL CHAIN
MARVEL ULTIMATE ALLIANCE 3: The Black Order,MARVEL ULTIMATE ALLIANCE 3: The Black Order
NEW スーパーマリオブラザーズU デラックス,New スーパーマリオブラザーズU デラックス
New スーパーマリオブラザーズ U デラックス,New スーパーマリオブラザーズU デラックス
New スーパーマリオブラザーズU デラックス,New スーパーマリオブラザーズU デラックス
New ポケモンスナップ,New ポケモンスナップ
New ポケモンスナップ *,New ポケモンスナップ
Nintendo Labo Toy-Con 01: Variety Kit,Nintendo Labo Toy-Con 01: Variety Kit
Nintendo Switch Sports,Nintendo Switch Sports
OCTOPATH TRAVELER *,OCTOPATH TRAVELER
Pikmin 4,Pikmin 4
Pokmon LEGENDS アルセウス,Pokmon LEGENDS アルセウス
Splatoon 2,Splatoon2
Splatoon2,Splatoon2
Super Mario Bros. Wonder,Super Mario Bros. Wonder
Xenoblade Definitive Edition,Xenoblade Definitive Edition
Xenoblade3（ゼノブレイド3）,ゼノブレイド3
あつまれ　どうぶつの森,あつまれ どうぶつの森
あつまれ どうぶつの森,あつまれ どうぶつの森
おすそわける メイド イン ワリオ,おすそわける メイド イン ワリオ
おすそわける　メイド イン ワリオ,おすそわける　メイド イン ワリオ
やわらかあたま塾 いっしょにあたまのストレッチ,やわらかあたま塾 いっしょにあたまのストレッチ
スプラトゥーン3,Splatoon3
スプラトゥーン３,Splatoon3
スーパー マリオパーティ,スーパーマリオパーティ
スーパー マリオパーティ ジャンボリー,スーパー マリオパーティ ジャンボリー
スーパーマリオ ３Ｄコレクション,スーパーマリオ 3Dコレクション
スーパーマリオ 3Dコレクション,スーパーマリオ 3Dコレクション
スーパーマリオ ３Ｄワールド ＋ フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ ３Ｄワールド + フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ 3Dワールド + フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ 3Dワールド ＋ フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ ３Ｄワールド＋フューリーワールド,スーパーマリオ 3Dワールド + フューリーワールド
スーパーマリオ オデッセイ,スーパーマリオ オデッセイ
スーパーマリオRPG,スーパーマリオRPG
スーパーマリオパーティ,スーパーマリオパーティ
スーパーマリオメーカー 2,スーパーマリオメーカー2
スーパーマリオメーカー2,スーパーマリオメーカー2
スーパーマリオメーカー２,スーパーマリオメーカー2
ゼノブレイド２,ゼノブレイド2
ゼノブレイド2,ゼノブレイド2
ゼルダの伝説 スカイウォードソード HD,ゼルダの伝説 スカイウォードソード HD
ゼルダの伝説 ティアーズ オブ ザ キングダム,ゼルダの伝説 ティアーズ オブ ザ キングダム
ゼルダの伝説 ブレス オブ ザ ワイルド,ゼルダの伝説 ブレス オブ ザ ワイルド
ゼルダの伝説　ブレス オブ ザ ワイルド,ゼルダの伝説 ブレス オブ ザ ワイルド
ゼルダの伝説 夢をみる島,ゼルダの伝説 夢をみる島
ゼルダの伝説 知恵のかりもの,ゼルダの伝説 知恵のかりもの
ゼルダ無双 厄災の黙示録,ゼルダ無双 厄災の黙示録
ドンキーコング　トロピカルフリーズ,ドンキーコング トロピカルフリーズ
ドンキーコング トロピカルフリーズ,ドンキーコング トロピカルフリーズ
ドンキーコング リターンズ HD,ドンキーコング リターンズ HD
ナビつき！ つくってわかる はじめてゲームプログラミング,ナビつき！ つくってわかる はじめてゲームプログラミング
ピクミン3 デラックス,ピクミン3 デラックス
ファイアーエムブレム エンゲージ,ファイアーエムブレム エンゲージ
ファイアーエムブレム 風花雪月,ファイアーエムブレム 風花雪月
プリンセスピーチ Showtime!,プリンセスピーチ Showtime!
ベヨネッタ3,ベヨネッタ3
